(a2,2115)
(a3,25940)
(a4,29949)
(a5,29551)
(a6,28871)
(a7,1962)
(b2,1651)
(b3,19184)
(b4,27246)
(b5,29166)
(b6,20025)
(b7,1485)
(c2,1496)
(c3,24688)
(c4,46983)
(c5,47750)
(c6,27687)
(c7,1387)
(d2,1474)
(d3,16897)
(d4,71807)
(d5,62283)
(d6,32023)
(d7,1563)
(e2,1040)
(e3,28146)
(e4,67289)
(e5,57141)
(e6,46454)
(e7,1064)
(f2,789)
(f3,19399)
(f4,31085)
(f5,28963)
(f6,18806)
(f7,811)
(g2,826)
(g3,23981)
(g4,25633)
(g5,24273)
(g6,31095)
(g7,927)
(h2,1109)
(h3,28356)
(h4,26465)
(h5,25874)
(h6,28985)
(h7,1226)
